Student_ID,Attendance,Study_Hours,Previous_Marks,Assignment_Score,Internal_Marks,Result
286,68,2.4,36,75,38,Fail
287,91,5.4,41,72,47,Fail
288,79,3.0,76,52,89,Pass
289,75,5.2,86,47,38,Pass
290,74,0.8,47,35,55,Fail
291,65,7.5,67,80,90,Pass
292,93,5.4,53,75,36,Pass
293,66,2.5,86,77,85,Pass
294,92,3.8,59,73,53,Pass
295,76,3.3,86,96,64,Pass
296,91,3.7,62,53,67,Pass
297,50,3.0,53,69,87,Pass
298,72,1.7,63,74,87,Fail
299,100,7.3,74,85,65,Pass
300,95,7.6,39,81,76,Pass
301,92,5.6,95,33,48,Pass
302,88,6.4,37,46,38,Fail
303,86,3.2,59,34,49,Pass
304,68,3.3,83,39,47,Pass
305,70,2.9,52,61,44,Fail
306,56,4.2,59,45,63,Pass
307,90,3.8,74,66,92,Pass
308,53,6.9,63,52,86,Pass
309,96,5.6,89,70,74,Pass
310,80,4.6,92,68,50,Pass
311,89,5.3,85,76,95,Pass
312,57,6.4,50,93,33,Pass
313,81,3.3,86,100,46,Pass
314,50,1.0,60,91,82,Pass
315,97,4.8,43,70,39,Pass
316,88,4.4,43,100,53,Pass
317,53,3.7,93,37,45,Pass
318,64,1.7,55,58,74,Pass
319,78,7.2,89,40,62,Pass
320,80,2.6,75,68,41,Pass
321,55,4.9,72,49,51,Pass
322,91,7.3,56,35,33,Pass
323,86,6.3,51,56,83,Pass
324,46,4.2,75,99,67,Pass
325,64,4.1,86,81,68,Pass
326,89,0.9,63,83,91,Pass
327,66,5.0,55,70,74,Pass
328,53,6.2,67,43,70,Pass
329,52,2.5,50,48,42,Fail
330,69,7.0,61,61,50,Pass
331,81,5.9,47,50,93,Pass
332,74,4.2,54,93,32,Fail
333,70,4.3,50,57,75,Fail
334,63,4.2,91,90,66,Pass
335,99,1.3,43,63,76,Pass
336,68,0.8,38,54,76,Fail
337,49,3.4,63,100,65,Pass
338,84,5.6,42,46,42,Fail
339,95,7.9,70,76,48,Pass
340,77,3.5,37,35,34,Fail
341,66,6.5,68,88,49,Pass
342,77,1.5,94,70,50,Pass
343,84,6.0,54,73,94,Pass
344,79,4.2,71,68,90,Pass
345,68,3.0,42,83,69,Pass
346,91,7.0,75,33,90,Pass
347,86,6.4,84,59,36,Pass
348,55,4.4,81,78,48,Pass
349,60,0.7,95,44,54,Fail
350,65,3.6,61,56,82,Pass
351,84,7.4,90,37,47,Pass
352,80,2.9,77,91,78,Pass
353,56,3.9,69,73,75,Pass
354,100,5.9,76,63,91,Pass
355,60,2.6,54,58,68,Pass
356,90,2.1,80,92,70,Pass
357,80,7.5,85,65,66,Pass
358,88,4.6,92,80,74,Pass
359,96,1.6,37,66,40,Fail
360,73,5.4,82,91,57,Pass
361,79,2.5,70,64,47,Fail
362,92,4.9,50,36,58,Pass
363,48,1.3,56,90,42,Fail
364,53,0.5,70,50,82,Fail
365,75,4.1,47,66,71,Pass
366,48,7.3,40,59,34,Pass
367,56,3.6,88,52,34,Pass
368,70,6.4,46,67,34,Fail
369,81,5.0,94,72,66,Pass
370,86,4.6,66,47,94,Pass
371,57,6.6,56,50,88,Pass
372,90,1.9,82,73,67,Pass
373,93,1.9,74,81,84,Pass
374,50,3.5,41,53,47,Fail
375,60,0.6,59,60,87,Pass
376,66,2.8,81,31,63,Pass
377,89,2.3,77,45,89,Pass
378,70,5.6,94,69,45,Pass
379,63,3.3,49,58,47,Fail
380,74,6.1,73,77,83,Pass
381,75,6.2,86,57,61,Pass
382,83,7.0,40,97,87,Pass
383,68,1.1,71,44,37,Fail
384,77,2.0,69,49,51,Fail
385,78,3.8,78,56,92,Pass
386,77,3.8,38,88,46,Pass
387,74,4.7,70,89,69,Pass
388,70,2.4,35,57,39,Fail
389,67,5.8,69,37,38,Pass
390,75,0.7,61,53,47,Fail
391,91,5.3,61,77,78,Pass
392,69,3.3,78,99,47,Pass
393,67,1.4,69,80,46,Pass
394,59,6.8,83,32,68,Pass
395,91,4.6,69,78,59,Pass
396,67,1.7,47,44,34,Fail
397,71,5.1,94,32,60,Pass
398,51,5.0,63,36,61,Pass
399,70,3.8,69,57,37,Fail
400,63,2.3,93,70,71,Pass
401,54,7.9,68,58,82,Pass
402,48,4.7,72,52,84,Pass
403,48,7.8,95,78,70,Pass
404,71,1.6,59,53,90,Fail
405,59,2.8,80,48,89,Pass
406,80,3.6,61,97,47,Pass
407,61,2.0,76,40,87,Pass
408,50,4.5,88,54,36,Pass
409,88,5.0,37,39,54,Pass
410,82,5.9,70,57,91,Pass
411,66,2.8,93,31,57,Pass
412,92,1.4,83,91,61,Pass
413,90,2.0,93,60,71,Pass
414,69,4.0,76,75,69,Pass
415,77,7.1,64,42,90,Pass
416,65,7.4,58,70,82,Pass
417,100,2.2,44,32,63,Fail
418,82,4.8,61,67,49,Pass
419,59,3.3,88,61,93,Pass
420,88,3.0,83,92,92,Pass
421,91,6.5,45,47,92,Pass
422,79,7.9,38,97,34,Pass
423,49,7.6,77,36,30,Pass
424,98,5.2,39,49,31,Fail
425,74,3.3,74,91,92,Pass
426,79,4.6,35,32,65,Fail
427,63,0.6,87,85,52,Fail
428,51,4.4,50,54,62,Pass
429,62,6.5,40,77,81,Pass
430,60,7.9,49,68,40,Pass
431,99,5.4,37,41,81,Pass
432,80,4.1,75,31,51,Fail
433,99,3.8,85,72,42,Pass
434,47,2.2,92,90,64,Pass
435,49,5.6,52,99,34,Fail
436,99,2.9,48,48,80,Pass
437,64,1.7,50,79,72,Fail
438,92,1.5,79,40,94,Pass
439,67,0.9,62,59,39,Fail
440,94,5.1,73,80,71,Pass
441,62,6.4,63,92,59,Pass
442,69,3.7,78,78,40,Pass
443,63,6.5,80,39,40,Pass
444,69,5.8,75,49,79,Pass
445,51,1.2,95,69,86,Pass
446,62,1.3,40,53,85,Fail
447,80,4.3,41,33,41,Fail
448,50,5.0,85,71,79,Pass
449,71,3.4,40,61,51,Fail
450,55,1.5,54,64,93,Fail
451,55,3.8,61,68,91,Pass
452,68,2.4,50,93,55,Fail
453,53,2.8,95,80,72,Pass
454,69,6.5,56,86,72,Pass
455,97,6.9,73,47,68,Pass
456,89,2.0,55,52,80,Pass
457,63,6.0,75,92,61,Pass
458,62,6.6,60,76,44,Pass
459,57,4.9,69,53,33,Pass
460,74,7.6,48,86,67,Pass
461,49,6.6,85,82,93,Pass
462,64,2.3,77,49,84,Pass
463,49,3.9,73,91,81,Pass
464,100,5.7,69,34,76,Pass
465,96,4.5,75,40,43,Pass
466,87,5.5,45,35,81,Pass
467,66,7.7,62,43,31,Pass
468,59,4.3,68,58,87,Pass
469,74,6.3,72,94,49,Pass
470,46,4.1,53,83,40,Fail
471,91,1.6,54,73,88,Pass
472,78,4.1,65,42,86,Pass
473,73,2.9,54,35,44,Fail
474,66,5.4,78,51,61,Pass
475,80,1.7,70,84,89,Pass
476,70,5.2,46,85,80,Pass
477,84,7.1,63,84,79,Pass
478,58,2.0,83,38,43,Pass
479,79,1.9,55,55,88,Fail
480,87,7.0,68,70,79,Pass
481,82,1.4,57,88,52,Pass
482,90,6.5,93,40,47,Pass
483,60,2.8,46,77,48,Fail
484,71,5.0,71,79,84,Pass
485,85,4.5,93,52,51,Pass
486,53,1.9,88,87,36,Pass
487,45,4.1,47,79,94,Pass
488,71,5.6,61,86,92,Pass
489,81,0.7,83,58,67,Fail
490,59,4.5,45,88,93,Pass
491,52,4.8,52,99,76,Pass
492,93,0.8,81,86,57,Pass
493,51,6.0,76,61,68,Pass
494,47,3.9,57,41,86,Pass
495,52,6.3,50,56,74,Pass
496,84,5.2,45,47,56,Pass
497,96,0.9,57,98,65,Pass
498,55,2.9,80,67,67,Pass
499,99,4.4,92,42,47,Pass
500,95,3.6,38,65,46,Pass
